user_id,item_id,interaction,ncf_predictions
0,0,0,0.49108887
0,1,0,0.4873518
0,2,0,0.49386272
0,4,0,0.48492324
0,5,0,0.48809892
1,0,0,0.49303377
1,1,0,0.4927421
1,2,0,0.4969096
2,0,0,0.49506408
2,1,0,0.49158543
2,2,0,0.50128603
3,0,0,0.4946442
3,1,0,0.49192306
3,4,0,0.49226663
3,5,0,0.49527356
4,0,0,0.49746636
4,2,0,0.5041279
4,4,0,0.49519888
4,5,0,0.49618116
5,0,0,0.49293834
5,1,0,0.49416766
5,2,0,0.50118184
5,5,0,0.49277005
6,0,0,0.49532273
6,1,0,0.49238274
6,4,0,0.49484023
6,5,0,0.49400827
7,0,0,0.4943104
7,1,0,0.49182364
7,2,0,0.50055707
7,3,0,0.49795368
7,5,0,0.4921389
8,0,0,0.4966418
8,1,0,0.49305275
8,2,0,0.50074184
8,4,0,0.49598664
8,5,0,0.49361148
9,0,0,0.49806255
9,1,0,0.4931496
9,2,0,0.5022114
9,3,0,0.4974593
9,5,0,0.4964552
10,0,0,0.49538535
10,1,0,0.49293655
10,2,0,0.4979951
10,4,0,0.49580646
10,5,0,0.4933782
11,0,0,0.49573955
11,1,0,0.49315742
11,2,0,0.5015839
11,4,0,0.49368662
11,5,0,0.49337673
12,0,0,0.48992357
12,1,0,0.49208024
12,2,0,0.49871987
12,4,0,0.4906306
12,5,0,0.48945558
13,0,0,0.49409643
13,2,0,0.4992151
13,3,0,0.49854338
13,4,0,0.49205217
13,5,0,0.4921122
14,0,0,0.49499756
14,1,0,0.49347565
14,2,0,0.50323004
14,4,0,0.49026093
14,5,0,0.495676
15,0,0,0.4955568
15,1,0,0.49152026
15,2,0,0.49953896
15,3,0,0.4966673
15,4,0,0.49085698
16,0,0,0.49558327
16,1,0,0.49082258
16,2,0,0.5033771
16,4,0,0.4942183
16,5,0,0.49112502
17,0,0,0.494751
17,1,0,0.49548748
17,3,0,0.4976951
17,4,0,0.49482328
17,5,0,0.49382433
18,0,0,0.49499616
18,1,0,0.4906248
18,3,0,0.50014627
18,4,0,0.492151
18,5,0,0.49075118
19,0,0,0.49890113
19,1,0,0.49511552
19,3,0,0.50033915
19,4,0,0.49695978
19,5,0,0.4985597
20,1,0,0.4892464
20,2,0,0.49574918
20,3,0,0.49844876
20,4,0,0.4867327
20,5,0,0.4896614
0,3,1,0.4954973
1,3,1,0.49714175
1,4,1,0.49451318
1,5,1,0.492336
2,3,1,0.49733463
2,4,1,0.48904565
2,5,1,0.49259445
3,2,1,0.4966377
3,3,1,0.49494016
4,1,1,0.49324435
4,3,1,0.49850965
5,3,1,0.49941805
5,4,1,0.4976938
6,2,1,0.49939036
6,3,1,0.4989909
7,4,1,0.49121973
8,3,1,0.4978447
9,4,1,0.4969309
10,3,1,0.49948102
11,3,1,0.4998835
12,3,1,0.49709794
13,1,1,0.49168384
14,3,1,0.49655104
15,5,1,0.49459457
16,3,1,0.49965537
17,2,1,0.49968585
18,2,1,0.50248253
19,2,1,0.5055631
20,0,1,0.49413246
